Alcoa Inc,AA.BA,Buenos Aires,Argentina
Barrick Gold Corporation,ABX.BA,Buenos Aires,Argentina
Aegon NV,AEG.BA,Buenos Aires,Argentina
Agrometal S.A.,AGRO.BA,Buenos Aires,Argentina
American Identity,AIG.BA,Buenos Aires,Argentina
Alpargatas S.A.I.C.,ALPA.BA,Buenos Aires,Argentina
Aluar Aluminio Argentino,ALUA.BA,Buenos Aires,Argentina
Amgen Inc,AMGN.BA,Buenos Aires,Argentina
Petroleo Brasileiro SA,APBR.BA,Buenos Aires,Argentina
Petroleo Brasileiro SA,APBRA.BA,Buenos Aires,Argentina
Alto Palermo SA,APSA.BA,Buenos Aires,Argentina
Autopistas Del Sol S.A.,AUSO.BA,Buenos Aires,Argentina
American Eagle Energy, Inc.,AXP.BA,Buenos Aires,Argentina
AstraZeneca PLC,AZN.BA,Buenos Aires,Argentina
Boeing Capital Corporation,BA.BA,Buenos Aires,Argentina
Banco Hipotecario S.A.,BHIP.BA,Buenos Aires,Argentina
Macro Bank, Inc.,BMA.BA,Buenos Aires,Argentina
Bristol-Myers Squibb Company,BMY.BA,Buenos Aires,Argentina
Banco Patagonia S.A.,BPAT.BA,Buenos Aires,Argentina
Banco Santander Rio S.A.,BRIO.BA,Buenos Aires,Argentina
Banco Santander Rio S.A.,BRIO6.BA,Buenos Aires,Argentina
Citigroup Inc,C.BA,Buenos Aires,Argentina
Carlos Casado S.A.,CADO.BA,Buenos Aires,Argentina
Cardinal Health Inc,CAH.BA,Buenos Aires,Argentina
Caputo S.A.,CAPU.BA,Buenos Aires,Argentina
Capex S.A.,CAPX.BA,Buenos Aires,Argentina
Carboclor S.A.,CARC.BA,Buenos Aires,Argentina
Caterpillar Inc,CAT.BA,Buenos Aires,Argentina
Endesa Costanera S.A.,CECO2.BA,Buenos Aires,Argentina
Central Puerto S.A.,CEPU2.BA,Buenos Aires,Argentina
Camuzzi Gas Pampeana S.A.,CGPA2.BA,Buenos Aires,Argentina
Colorin S.A.,COLO.BA,Buenos Aires,Argentina
Sociedad Comercial,COME.BA,Buenos Aires,Argentina
Cresud SA,CRES.BA,Buenos Aires,Argentina
Cisco Systems Inc,CSCO.BA,Buenos Aires,Argentina
Consultatio SA,CTIO.BA,Buenos Aires,Argentina
Chevron Corp,CVX.BA,Buenos Aires,Argentina
E.I du Pont de Nemours,DD.BA,Buenos Aires,Argentina
Deere & Co,DE.BA,Buenos Aires,Argentina
Dell Inc,DELL.BA,Buenos Aires,Argentina
Diageo PLC,DEO.BA,Buenos Aires,Argentina
Cuyana,DGCU2.BA,Buenos Aires,Argentina
Walt Disney Co,DISN.BA,Buenos Aires,Argentina
