Australian Agricultu,AAC.AX,ASX,Australia
Ardent Leisure Group,AAD.AX,ASX,Australia
Agri Energy Limited,AAE.AX,ASX,Australia
Alcoa Inc,AAI.AX,ASX,Australia
Australia China Holdings Ltd.,AAK.AX,ASX,Australia
APAC Coal Limited,AAL.AX,ASX,Australia
Stone Resources Australia Ltd,AAM.AX,ASX,Australia
Adept Solutions Ltd,AAO.AX,ASX,Australia
AAQ Holding Ltd,AAQ.AX,ASX,Australia
Anglo Australian Resources NL,AAR.AX,ASX,Australia
Adcorp Australia Ltd.,AAU.AX,ASX,Australia
Ausenco Limited,AAX.AX,ASX,Australia
AACL Holdings Limited,AAY.AX,ASX,Australia
Adelaide Brighton Limited,ABC.AX,ASX,Australia
Abacus Property Group,ABP.AX,ASX,Australia
ABM Resources NL,ABU.AX,ASX,Australia
Advanced Braking,ABV.AX,ASX,Australia
Aditya Birla Minerals Limited,ABY.AX,ASX,Australia
Australian Bauxite Limited,ABZ.AX,ASX,Australia
A-Cap Resources Limited,ACB.AX,ASX,Australia
AtCor Medical Holdings Limited,ACG.AX,ASX,Australia
Austock Group Limited,ACK.AX,ASX,Australia
Alchemia Limited,ACL.AX,ASX,Australia
Acrux Limited,ACR.AX,ASX,Australia
Accent Resources N.L.,ACS.AX,ASX,Australia
Acuvax Ltd,ACU.AX,ASX,Australia
Actinogen Limited,ACW.AX,ASX,Australia
Zamanco Minerals Limited,ACZ.AX,ASX,Australia
Adacel Technologies Limited,ADA.AX,ASX,Australia
Adavale Resources Limited,ADD.AX,ASX,Australia
Adelaide Resources Limited,ADN.AX,ASX,Australia
Anteo Diagnostics Limited,ADO.AX,ASX,Australia
ADG Global Supply Limited,ADQ.AX,ASX,Australia
ADX Energy Ltd.,ADX.AX,ASX,Australia
Admiralty Resources NL,ADY.AX,ASX,Australia
Aura Energy Limited,AEE.AX,ASX,Australia
Australian Ethical,AEF.AX,ASX,Australia
Aeris Environmental Ltd.,AEI.AX,ASX,Australia
Redbank Energy Ltd,AEJ.AX,ASX,Australia
Artist & Entertainment,AEM.AX,ASX,Australia
Australian Education Trust,AEU.AX,ASX,Australia
Leopard Resources NL,AEX.AX,ASX,Australia
ASF Group Limited,AFA.AX,ASX,Australia
Australian Foundation,AFI.AX,ASX,Australia
African Energy Resou,AFR.AX,ASX,Australia
AFT Corporation Limited,AFT.AX,ASX,Australia
Anglogold Ashanti Limited,AGG.AX,ASX,Australia
Ainsworth Game Techn,AGI.AX,ASX,Australia
Agricultural Land Trust,AGJ.AX,ASX,Australia
AGL Energy Limited,AGK.AX,ASX,Australia
Atlas Iron Ltd,AGO.AX,ASX,Australia
Alliance Resources Limited,AGS.AX,ASX,Australia
Aurium Resources Limited,AGU.AX,ASX,Australia
Agenix Limited,AGX.AX,ASX,Australia
Argosy Minerals Ltd,AGY.AX,ASX,Australia
AHC Limited,AHC.AX,ASX,Australia
Amalgamated Holdings Limited,AHD.AX,ASX,Australia
Automotive Holdings,AHE.AX,ASX,Australia
Athena Resources Limited,AHN.AX,ASX,Australia
Anchor Resources Limited,AHR.AX,ASX,Australia
Auckland Airport Airport,AIA.AX,ASX,Australia
Autodom Limited,AIE.AX,ASX,Australia
Aircruising Australia Limited,AIG.AX,ASX,Australia
Asciano Limited,AIO.AX,ASX,Australia
Astivita Renewables Limited,AIR.AX,ASX,Australia
Activex Limited,AIV.AX,ASX,Australia
Australian-American,AIW.AX,ASX,Australia
Authorised Investment,AIY.AX,ASX,Australia
Air New Zealand Limited,AIZ.AX,ASX,Australia
Asian Centre for Liver,AJJ.AX,ASX,Australia
AJ Lucas Group Limited,AJL.AX,ASX,Australia
Altura Mining Ltd.,AJM.AX,ASX,Australia
Alexium International,AJX.AX,ASX,Australia
Australia Minerals,AKA.AX,ASX,Australia
Ask Funding Limited,AKF.AX,ASX,Australia
Austin Exploration,AKK.AX,ASX,Australia
Aspire Mining Ltd.,AKM.AX,ASX,Australia
Alkane Resources Ltd.,ALK.AX,ASX,Australia
Aristocrat Leisure Limited,ALL.AX,ASX,Australia
Alesco Corporation Limited,ALS.AX,ASX,Australia
Analytica Limited,ALT.AX,ASX,Australia
Altium Limited,ALU.AX,ASX,Australia
Alchemy Resources Limited,ALY.AX,ASX,Australia
Australand Property Group,ALZ.AX,ASX,Australia
AMA Group Ltd,AMA.AX,ASX,Australia
Ambition Group Limited,AMB.AX,ASX,Australia
Amcor Limited,AMC.AX,ASX,Australia
AMCIL Limited,AMH.AX,ASX,Australia
Amcom Telecom,AMM.AX,ASX,Australia
Ambertech Limited,AMO.AX,ASX,Australia
AMP Limited,AMP.AX,ASX,Australia
Advanced Surgical De,AMT.AX,ASX,Australia
Amadeus Energy Limited,AMU.AX,ASX,Australia
Ampella Mining Limited,AMX.AX,ASX,Australia
Austin Engineering Limited,ANG.AX,ASX,Australia
Magontec Ltd,ANM.AX,ASX,Australia
Ansell Limited,ANN.AX,ASX,Australia
