Astral Mining Corp,AA.V,TSXV,Canada
Aberdeen International Inc.,AAB.TO,Toronto,Canada
Actus Minerals Corp,AAC.V,TSXV,Canada
Andean American Gold Corp,AAG.V,TSXV,Canada
Aastra Technologies Limited,AAH.TO,Toronto,Canada
Atacama Minerals Corp.,AAM.V,TSXV,Canada
ATI Airtest Technologies Inc.,AAT.V,TSXV,Canada
AndeanGold Ltd.,AAU.V,TSXV,Canada
Advantage Oil & Gas Ltd.,AAV.TO,Toronto,Canada
Advance Gold Corp,AAX.V,TSXV,Canada
Asbestos Corp,AB-H.V,TSXV,Canada
Abbastar Resource Corporation,ABA.V,TSXV,Canada
Abitibi Mining Corp,ABB.V,TSXV,Canada
Asia Bio-Chem,ABC.TO,Toronto,Canada
Abitex Resources Inc.,ABE.V,TSXV,Canada
AMG Bioenergy Resources,ABG.V,TSXV,Canada
Abcourt Mines, Inc.,ABI.V,TSXV,Canada
Abington Resources Ltd.,ABL.V,TSXV,Canada
Athabasca Minerals, Inc.,ABM.V,TSXV,Canada
Aben Resources Ltd.,ABN.V,TSXV,Canada
Arbor Memorial Services Inc.,ABO-A.TO,Toronto,Canada
Arbor Memorial Services Inc.,ABO-B.TO,Toronto,Canada
Albion Petroleum Ltd.,ABP-H.V,TSXV,Canada
Ashburton Ventures, Inc.,ABR.V,TSXV,Canada
Absolute Software Corp,ABT.TO,Toronto,Canada
Abenteuer Resources Corp.,ABU.V,TSXV,Canada
Barrick Gold Corporation,ABX.TO,Toronto,Canada
AsiaBaseMetals, Inc.,ABZ.V,TSXV,Canada
Air Canada,AC-A.TO,Toronto,Canada
Air Canada,AC-B.TO,Toronto,Canada
Anergy Capital, Inc.,ACA-P.V,TSXV,Canada
Amica Mature Lifestyles, Inc.,ACC.TO,Toronto,Canada
Accord Financial,ACD.TO,Toronto,Canada
Anglo Canadian Oil Corp,ACG.V,TSXV,Canada
Anthony Clark International,ACL.V,TSXV,Canada
Astral Media Inc.,ACM-A.TO,Toronto,Canada
Astral Media Inc.,ACM-B.TO,Toronto,Canada
Ansell Capital Corp,ACP.V,TSXV,Canada
AutoCanada, Inc.,ACQ.TO,Toronto,Canada
