AB Science,AB.PA,Paris,France
ABC arbitrage,ABCA.PA,Paris,France
Accor SA,AC.PA,Paris,France
Audika Groupe,ADI.PA,Paris,France
Advini SA,ADVI.PA,Paris,France
Aedian,AEDI.PA,Paris,France
Air France-KLM,AF.PA,Paris,France
Afone,AFO.PA,Paris,France
Agricole de la Crau,AGCR.PA,Paris,France
Agta Record,AGTA.PA,Paris,France
Air Liquide SA,AI.PA,Paris,France
Akka Technologies,AKA.PA,Paris,France
Arkema,AKE.PA,Paris,France
1855 SA,AL185.PA,Paris,France
AdThink Media SA,ALADM.PA,Paris,France
Adomos SA,ALADO.PA,Paris,France
Adverline SA,ALADV.PA,Paris,France
Agrogeneration,ALAGR.PA,Paris,France
Acheter-Louer.Fr SA,ALALO.PA,Paris,France
Antevenio SA,ALANT.PA,Paris,France
Aquila SA,ALAQU.PA,Paris,France
Arkoon Network Security SA,ALARK.PA,Paris,France
Assya Compagnie Financiere,ALASS.PA,Paris,France
Astellia SA,ALAST.PA,Paris,France
Auplata SA,ALAUP.PA,Paris,France
Auto Escape SA,ALAUT.PA,Paris,France
Sidetrade SA,ALBFR.PA,Paris,France
Bionersis,ALBRS.PA,Paris,France
Budget Telecom SA,ALBUD.PA,Paris,France
Carmat SAS,ALCAR.PA,Paris,France
Cerep SA,ALCER.PA,Paris,France
Clasquin SA,ALCLA.PA,Paris,France
Cellectis SA,ALCLS.PA,Paris,France
CRM Company SA,ALCRM.PA,Paris,France
Cortix SA,ALCTX.PA,Paris,France
Deinove,ALDEI.PA,Paris,France
Dietswell Engineering SA,ALDIE.PA,Paris,France
DLSI SA,ALDLS.PA,Paris,France
Demos SA,ALDMO.PA,Paris,France
Dolphin Integration SA,ALDOL.PA,Paris,France
Alliance Developpement,ALDV.PA,Paris,France
Exonhit SA,ALEHT.PA,Paris,France
Entreparticuliers SA,ALENT.PA,Paris,France
Eurasia Groupe,ALEUA.PA,Paris,France
Europlasma,ALEUP.PA,Paris,France
Fashion B. Air SA,ALFBA.PA,Paris,France
Fountaine Pajot SA,ALFPC.PA,Paris,France
Freelance com SA,ALFRE.PA,Paris,France
Eurogerm SA,ALGEM.PA,Paris,France
Genoway SA,ALGEN.PA,Paris,France
Genfit SA,ALGFT.PA,Paris,France
Let's Gowex SA,ALGOW.PA,Paris,France
LeGuide.com SA,ALGUI.PA,Paris,France
H2O Innovation Inc,ALHEO.PA,Paris,France
HiTechPros SA,ALHIT.PA,Paris,France
Homair Vacances,ALHOM.PA,Paris,France
Heurtey Petrochem SA,ALHPC.PA,Paris,France
Harvest SA,ALHVS.PA,Paris,France
Hybrigenics SA,ALHYG.PA,Paris,France
i2S Corp SA,ALI2S.PA,Paris,France
Groupimo SA,ALIMO.PA,Paris,France
Millet Innovation SA,ALINN.PA,Paris,France
Integragen,ALINT.PA,Paris,France
L'Inventoriste,ALIVT.PA,Paris,France
Keyyo,ALKEY.PA,Paris,France
Logic Instrument SA,ALLOG.PA,Paris,France
Alpha Mos,ALM.PA,Paris,France
Mastrad SA,ALMAS.PA,Paris,France
Maximiles SA,ALMAX.PA,Paris,France
MGI Digital Graphic,ALMDG.PA,Paris,France
Medicrea International SA,ALMED.PA,Paris,France
Groupe Promeo SA,ALMEO.PA,Paris,France
Sapmer,ALMER.PA,Paris,France
Groupe Monceau Fleurs,ALMFL.PA,Paris,France
MG International,ALMGI.PA,Paris,France
Satimo,ALMIC.PA,Paris,France
1000Mercis SA,ALMIL.PA,Paris,France
NetBooster SA,ALNBT.PA,Paris,France
Neotion SA,ALNEO.PA,Paris,France
Neovacs SA,ALNEV.PA,Paris,France
Nexeya S.A.,ALNEX.PA,Paris,France
Notrefamille.com SA,ALNFA.PA,Paris,France
Alstom SA,ALO.PA,Paris,France
Ober SA,ALOBR.PA,Paris,France
Octo Technology SA,ALOCT.PA,Paris,France
Societe O2I,ALODI.PA,Paris,France
Orolia SA,ALORO.PA,Paris,France
ADL Partner,ALP.PA,Paris,France
Piscines Group SA,ALPGG.PA,Paris,France
Press Index SA,ALPRI.PA,Paris,France
Prodware SA,ALPRO.PA,Paris,France
Proventec PLC,ALPTC.PA,Paris,France
Poweo Direct Energie,ALPWO.PA,Paris,France
Reims Aviation Industries SA,ALRAI.PA,Paris,France
Richel Serres de France SA,ALRIC.PA,Paris,France
Solutions 30 SA,ALS30.PA,Paris,France
Stradim-Espace Finances SA,ALSAS.PA,Paris,France
DL Software SA,ALSDL.PA,Paris,France
