Deep Space Media Group AG,0DS.DE,XETRA,Germany
2G energy AG,2GB.DE,XETRA,Germany
GIEAG,2GI.DE,XETRA,Germany
VimpelCom Ltd,35V.DE,XETRA,Germany
Archea Biogas Nv,3AB.DE,XETRA,Germany
Global Oil & Gas AG,3GO.DE,XETRA,Germany
Greater China Precision,49G.DE,XETRA,Germany
BYD Electronic,4BY.DE,XETRA,Germany
China Railway Constructio,4FF.DE,XETRA,Germany
Asian Bamboo AG,5AB.DE,XETRA,Germany
Deutsche Boerse AG,63DA.DE,XETRA,Germany
Merck & Co Inc,6MK.DE,XETRA,Germany
INJEX Pharma AG,6PK.DE,XETRA,Germany
China Pacific Insurance Group,75C.DE,XETRA,Germany
KTG Agrar AG,7KT.DE,XETRA,Germany
MPH Mittelstaendische,93MV.DE,XETRA,Germany
Blue Planet Environmental Inc,9BP.DE,XETRA,Germany
Arsenal Energy Inc.,A1E.DE,Berlin,Germany
ARISTON Real Estate AG,A3E.DE,XETRA,Germany
asknet AG,A5A.DE,XETRA,Germany
Thompson Creek Metals,A6R.DE,XETRA,Germany
artec technologies AG,A6T.DE,XETRA,Germany
Altira AG,A7A.DE,XETRA,Germany
Aragon AG,A8A.DE,XETRA,Germany
Uranium One, Inc.,A9Y.DE,XETRA,Germany
Amadeus Fire AG,AAD.DE,XETRA,Germany
Integralis AG,AAGN.DE,XETRA,Germany
aap Implantate AG,AAQ.DE,XETRA,Germany
Air Berlin PLC,AB1.DE,XETRA,Germany
Augusta Technologie AG,ABE1.DE,XETRA,Germany
ABB, Ltd.,ABJ.DE,XETRA,Germany
ABB, Ltd.,ABJA.DE,XETRA,Germany
Barrick Gold Corporation,ABR.DE,XETRA,Germany
Acer Inc.,AC5G.DE,XETRA,Germany
Accor SA,ACR.DE,XETRA,Germany
Actelion Ltd.,ACT.DE,XETRA,Germany
bet-at-home.com AG,ACX.DE,XETRA,Germany
Air China Limited,AD2.DE,XETRA,Germany
Adecco SA,ADI1.DE,XETRA,Germany
Adler Real Estate AG,ADL.DE,XETRA,Germany
Archer-Daniels Midland Company,ADM.DE,XETRA,Germany
Adesso AG,ADN1.DE,XETRA,Germany
Adidas AG,ADS.DE,XETRA,Germany
