Cheung Kong Holdings, Ltd.,0001.HK,HKSE,Hongkong
CLP Holdings Limited,0002.HK,HKSE,Hongkong
Hong Kong and China Gas,0003.HK,HKSE,Hongkong
Wharf holdings,0004.HK,HKSE,Hongkong
HSBC Holdings PLC,0005.HK,HKSE,Hongkong
Power Assets Holdings Ltd.,0006.HK,HKSE,Hongkong
Karl Thomson Holdings Ltd.,0007.HK,HKSE,Hongkong
PCCW Ltd,0008.HK,HKSE,Hongkong
Hang Lung Group Ltd.,0010.HK,HKSE,Hongkong
Hang Seng Bank Ltd.,0011.HK,HKSE,Hongkong
Henderson Land,0012.HK,HKSE,Hongkong
Hutchison Whampoa Ltd,0013.HK,HKSE,Hongkong
Hysan Development Co., Ltd.,0014.HK,HKSE,Hongkong
Vantage International Holdings,0015.HK,HKSE,Hongkong
Sun Hung Kai Properties, Ltd.,0016.HK,HKSE,Hongkong
New World Development Co,0017.HK,HKSE,Hongkong
Oriental Press Group Ltd.,0018.HK,HKSE,Hongkong
Swire Pacific Ltd.,0019.HK,HKSE,Hongkong
Wheelock and Co., Ltd.,0020.HK,HKSE,Hongkong
Waytung Global Group Ltd.,0021.HK,HKSE,Hongkong
Mexan Ltd.,0022.HK,HKSE,Hongkong
Bank of East Asia, Ltd.,0023.HK,HKSE,Hongkong
Burwill Holdings Ltd.,0024.HK,HKSE,Hongkong
Chevalier Int'l Holdings,0025.HK,HKSE,Hongkong
China Motor Bus Co., Ltd.,0026.HK,HKSE,Hongkong
Galaxy Enter. Group,0027.HK,HKSE,Hongkong
Tian An China Investments,0028.HK,HKSE,Hongkong
Dynamic Holdings Ltd.,0029.HK,HKSE,Hongkong
ABC Communications holdings,0030.HK,HKSE,Hongkong
China Aerospace,0031.HK,HKSE,Hongkong
Cross-Harbour holdings,0032.HK,HKSE,Hongkong
Rainbow Brothers Holdings Ltd.,0033.HK,HKSE,Hongkong
Kowloon Development Co., Ltd.,0034.HK,HKSE,Hongkong
Far East Consortium,0035.HK,HKSE,Hongkong
Far East Holdings Int'l,0036.HK,HKSE,Hongkong
Far East Hotels & Enter.,0037.HK,HKSE,Hongkong
First Tractor Co., Ltd.,0038.HK,HKSE,Hongkong
Bio-Dynamic Group Ltd.,0039.HK,HKSE,Hongkong
Gold Peak Industries,0040.HK,HKSE,Hongkong
Great Eagle Holdings Ltd.,0041.HK,HKSE,Hongkong
Northeast Electrical Deve,0042.HK,HKSE,Hongkong
C.P. Pokphand,0043.HK,HKSE,Hongkong
Hong Kong Aircraft,0044.HK,HKSE,Hongkong
Hk and Shanghai Hotels,0045.HK,HKSE,Hongkong
Computer And Technologies,0046.HK,HKSE,Hongkong
Hop Hing Group Holdings Ltd.,0047.HK,HKSE,Hongkong
