Alcoa Inc,AA.MX,Mexico,Mexico
Apple Inc,AAPL.MX,Mexico,Mexico
Anglo American PLC,AAUKYN.MX,Mexico,Mexico
ABB, Ltd.,ABBN.MX,Mexico,Mexico
Abbott Laboratories,ABT.MX,Mexico,Mexico
Companhia de Bebidas,ABVN.MX,Mexico,Mexico
Accel, S.A.B. de C.V.,ACCELSAB.MX,Mexico,Mexico
Aluminum Corporation,ACHN.MX,Mexico,Mexico
Arch Coal Inc,ACI.MX,Mexico,Mexico
Corporacion Actinver,ACTINVRB.MX,Mexico,Mexico
Archer-Daniels Midland Company,ADM.MX,Mexico,Mexico
American International,AIG.MX,Mexico,Mexico
AK Steel Holding Corporation,AKS.MX,Mexico,Mexico
Alfa, S.A.B. de C.V.,ALFAA.MX,Mexico,Mexico
Allstate Corp,ALL.MX,Mexico,Mexico
Alsea SAB de CV,ALSEA.MX,Mexico,Mexico
Alcatel-Lucent,ALUN.MX,Mexico,Mexico
Advanced Micro Devices Inc,AMD.MX,Mexico,Mexico
Amgen Inc,AMGN.MX,Mexico,Mexico
America Movil, S.A.B. de C.V.,AMXA.MX,Mexico,Mexico
America Movil, S.A.B. de C.V.,AMXL.MX,Mexico,Mexico
Amazon.com Inc,AMZN.MX,Mexico,Mexico
Apache Corporation,APA.MX,Mexico,Mexico
Anadarko Petroleum Corp,APC.MX,Mexico,Mexico
Air Products & Chemicals Inc,APD.MX,Mexico,Mexico
Consorcio Ara SAB de CV,ARA.MX,Mexico,Mexico
Grupo Aeroportuario del,ASURB.MX,Mexico,Mexico
Compania Minera Autlan,AUTLANB.MX,Mexico,Mexico
American Express Co,AXP.MX,Mexico,Mexico
Axtel SAB de CV,AXTELCPO.MX,Mexico,Mexico
AstraZeneca PLC,AZNN.MX,Mexico,Mexico
Allianz SE,AZSEYN.MX,Mexico,Mexico
Boeing Co,BA.MX,Mexico,Mexico
Bank of America Corporation,BAC.MX,Mexico,Mexico
Industrias Bachoco SAB de CV,BACHOCOB.MX,Mexico,Mexico
Grupo Bafar SA de CV,BAFARB.MX,Mexico,Mexico
Basf SE,BASFYN.MX,Mexico,Mexico
Bayer AG,BAYRYN.MX,Mexico,Mexico
Bed Bath & Beyond, Inc.,BBBY.MX,Mexico,Mexico
Bank Bradesco,BBDN.MX,Mexico,Mexico
Banco Bilbao Vizcaya,BBVA.MX,Mexico,Mexico
Best Buy Co Inc,BBY.MX,Mexico,Mexico
Barclays PLC,BCSN.MX,Mexico,Mexico
Farmacias Benavides SAB de CV,BEVIDESB.MX,Mexico,Mexico
Baker Hughes Inc.,BHI.MX,Mexico,Mexico
BHP Billiton Ltd,BHPN.MX,Mexico,Mexico
Baidu, Inc.,BIDUN.MX,Mexico,Mexico
Grupo Bimbo SAB de CV,BIMBOA.MX,Mexico,Mexico
Bristol-Myers Squibb Company,BMY.MX,Mexico,Mexico
BNP Paribas,BNPQYN.MX,Mexico,Mexico
Bank of Nova Scotia,BNS.MX,Mexico,Mexico
Bolsa Mexicana De Valores,BOLSAA.MX,Mexico,Mexico
BP PLC,BPN.MX,Mexico,Mexico
BRF - Brasil Foods SA,BRFSN.MX,Mexico,Mexico
Berkshire Hathaway Inc,BRKB.MX,Mexico,Mexico
Banco Santander Brasil,BSBRN.MX,Mexico,Mexico
Boston Scientific, Inc.,BSX.MX,Mexico,Mexico
Peabody Energy Corporation,BTU.MX,Mexico,Mexico
Citigroup Inc,C.MX,Mexico,Mexico
Empresas Cablevision SA de CV,CABLECPO.MX,Mexico,Mexico
