American Campus Communities, I,ACC,NYSE,United States of America
Agilent Technologies Inc.,A,NYSE,United States of America
Alcoa, Inc.,AA,NYSE,United States of America
Australia Acquisition Corp.,AAC,NasdaqCM,United States of America
Asset Acceptance Capital Corp.,AACC,NasdaqGS,United States of America
American Commerce Solutions In,AACS,OTC Markets,United States of America
Asian Dragon Group Inc.,AADG,OTC Markets,United States of America
All American Gold Corp.,AAGC,OTC Markets,United States of America
Avantair, Inc.,AAIR,OTC BB,United States of America
Atlantic American Corp.,AAME,NasdaqGM,United States of America
Aaron's, Inc.,AAN,NYSE,United States of America
AAON Inc.,AAON,NasdaqGS,United States of America
Advance Auto Parts Inc.,AAP,NYSE,United States of America
American Petro-hunter Inc.,AAPH,OTC BB,United States of America
Apple Inc.,AAPL,NasdaqGS,United States of America
All American Pet Company, Inc.,AAPT,OTC Markets,United States of America
All American Sportpark Inc.,AASP,OTC Markets,United States of America
Allied American Steel Corp.,AAST,OTC Markets,United States of America
American Assets Trust, Inc.,AAT,NYSE,United States of America
Almaden Minerals Ltd.,AAU,NYSE MKT,United States of America
The Andina Group, Inc.,AAUI,OTC Markets,United States of America
Advantage Oil & Gas Ltd.,AAV,NYSE,United States of America
Atlas Air Worldwide Holdings I,AAWW,NasdaqGS,United States of America
AllianceBernstein Holding L.P.,AB,NYSE,United States of America
Advanced Battery Technologies,,ABAT,OTC Markets,United States of America
Abaxis, Inc.,ABAX,NasdaqGS,United States of America
ABB Ltd.,ABB,NYSE,United States of America
Auburn Bancorp, Inc.,ABBB,OTC BB,United States of America
AmerisourceBergen Corporation,ABC,NYSE,United States of America
Ameris Bancorp,ABCB,NasdaqGS,United States of America
Cambium Learning Group, Inc.,ABCD,NasdaqGM,United States of America
Advisory Board Co.,ABCO,NasdaqGS,United States of America
AmBase Corp.,ABCP,OTC Markets,United States of America
Anchor BanCorp Wisconsin, Inc.,ABCW,OTC Markets,United States of America
Arkansas Best Corporation,ABFS,NasdaqGS,United States of America
Asbury Automotive Group, Inc.,ABG,NYSE,United States of America
Abtech Holdings, Inc.,ABHD,OTC BB,United States of America
ARCA biopharma, Inc.,ABIO,NasdaqCM,United States of America
Abakan, Inc.,ABKI,OTC Markets,United States of America
ABM Industries Incorporated,ABM,NYSE,United States of America
ABIOMED, Inc.,ABMD,NasdaqGS,United States of America
AltaPacific Bancorp,ABNK,OTC Markets,United States of America
Allegiance Bank of North Ameri,ABPA,OTC Markets,United States of America
Arbor Realty Trust Inc.,ABR,NYSE,United States of America
Abbott Laboratories,ABT,NYSE,United States of America
Autobytel Inc.,ABTL,NasdaqCM,United States of America
AB&T,ABTO,OTC Markets,United States of America
Alliance Bankshares Corporatio,ABVA,NasdaqCM,United States of America
Barrick Gold Corporation,ABX,NYSE,United States of America
ACADIA Pharmaceuticals Inc.,ACAD,NasdaqGM,United States of America
ActiveCare, Inc.,ACAR,OTC Markets,United States of America
American Capital, Ltd.,ACAS,NasdaqGS,United States of America
Arctic Cat Inc.,ACAT,NasdaqGS,United States of America
Albina Community Bancorp,ACBC,OTC BB,United States of America
Accelrys Inc.,ACCL,NasdaqGS,United States of America
ACCO Brands Corporation,ACCO,NYSE,United States of America
Access Pharmaceuticals Inc.,ACCP,OTC Markets,United States of America
ACE Limited,ACE,NYSE,United States of America
Aceto Corp.,ACET,NasdaqGS,United States of America
Atlantic Coast Federal Corpora,ACFC,NasdaqGM,United States of America
Acorn Energy, Inc.,ACFN,NasdaqGM,United States of America
AllianceBernstein Income Fund,,ACG,NYSE,United States of America
Arch Capital Group Ltd.,ACGL,NasdaqGS,United States of America
Aluminum Corporation Of China,ACH,NYSE,United States of America
Acadia Healthcare Company, Inc,ACHC,NasdaqGM,United States of America
Achillion Pharmaceuticals, Inc,ACHN,NasdaqGS,United States of America
Arch Coal Inc.,ACI,NYSE,United States of America
ACI Worldwide, Inc.,ACIW,NasdaqGS,United States of America
AccelPath, Inc.,ACLP,OTC BB,United States of America
Axcelis Technologies Inc.,ACLS,NasdaqGS,United States of America
Accelerize New Media, Inc.,ACLZ,OTC BB,United States of America
AECOM Technology Corporation,ACM,NYSE,United States of America
Access Midstream Partners, L.P,ACMP,NYSE,United States of America
Accenture plc,ACN,NYSE,United States of America
ACNB Corp.,ACNB,NasdaqCM,United States of America
AMCOL International Corporatio,ACO,NYSE,United States of America
Ancestry.com Inc.,ACOM,NasdaqGS,United States of America
Acorda Therapeutics, Inc.,ACOR,NasdaqGS,United States of America
